Sample Name	Protocol REF	Parameter Value[Post Extraction]	Term Source REF	Term Accession Number	Parameter Value[Derivatization]	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Term Source REF	Term Accession Number	Parameter Value[Column type]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Term Source REF	Term Accession Number	Parameter Value[Scan m/z range]	Term Source REF	Term Accession Number	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
SD-B00229	Extraction	120 μL isopropanol			none			SD-B00229	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00229	FILES/SD-B00229.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00006	Extraction	120 μL isopropanol			none			SD-B00006	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00006	FILES/SD-B00006.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00174	Extraction	120 μL isopropanol			none			SD-B00174	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00174	FILES/SD-B00174.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00382	Extraction	120 μL isopropanol			none			SD-B00382	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00382	FILES/SD-B00382.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00181	Extraction	120 μL isopropanol			none			SD-B00181	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00181	FILES/SD-B00181.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150417_QC_POS_12	Extraction	120 μL isopropanol			none			20150417_QC_POS_12	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150417_QC_POS_12	FILES/20150417_QC_POS_12.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00383	Extraction	120 μL isopropanol			none			SD-B00383	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00383	FILES/SD-B00383.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00347	Extraction	120 μL isopropanol			none			SD-B00347	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00347	FILES/SD-B00347.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00270	Extraction	120 μL isopropanol			none			SD-B00270	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00270	FILES/SD-B00270.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00263	Extraction	120 μL isopropanol			none			SD-B00263	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00263	FILES/SD-B00263.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
